basis,created_at,created_by_id,place_a_id,place_b_id,task_id,updated_at
imported,2024-05-31,2,88635,6368774,NULL,2024-05-31
imported,2024-05-31,2,90954,6463685,NULL,2024-05-31
imported,2024-05-31,2,6297117,13899845,NULL,2024-05-31
imported,2024-05-31,2,5135504,8135856,NULL,2024-05-31
imported,2024-05-31,2,5029487,6373606,NULL,2024-05-31
imported,2024-05-31,2,5296928,6368822,NULL,2024-05-31
imported,2024-05-31,2,227752,5262785,NULL,2024-05-31
imported,2024-05-31,2,5646606,8104245,NULL,2024-05-31
imported,2024-05-31,2,4836278,6373360,NULL,2024-05-31
imported,2024-05-31,2,4865239,6373921,NULL,2024-05-31
imported,2024-05-31,2,5233063,7261947,NULL,2024-05-31
imported,2024-05-31,2,5007070,7247159,NULL,2024-05-31
imported,2024-05-31,2,6174415,7137243,NULL,2024-05-31
imported,2024-05-31,2,5149524,6371008,NULL,2024-05-31
imported,2024-05-31,2,227665,6375553,NULL,2024-05-31
imported,2024-05-31,2,81555,12402987,NULL,2024-05-31
imported,2024-05-31,2,6374520,7685995,NULL,2024-05-31
imported,2024-05-31,2,6462508,6373130,NULL,2024-05-31
imported,2024-05-31,2,90547,6369374,NULL,2024-05-31
imported,2024-05-31,2,90346,6369332,NULL,2024-05-31
imported,2024-05-31,2,227826,7688862,NULL,2024-05-31
imported,2024-05-31,2,4994388,14192510,NULL,2024-05-31
imported,2024-05-31,2,4684597,7252993,NULL,2024-05-31
imported,2024-05-31,2,6294533,81843,NULL,2024-05-31
imported,2024-05-31,2,5890746,6368615,NULL,2024-05-31
imported,2024-05-31,2,6031371,5132091,NULL,2024-05-31
imported,2024-05-31,2,12923833,81432,NULL,2024-05-31
imported,2024-05-31,2,90482,6368323,NULL,2024-05-31
imported,2024-05-31,2,6368584,14156758,NULL,2024-05-31
imported,2024-05-31,2,5736967,6371241,NULL,2024-05-31
imported,2024-05-31,2,6018678,14154075,NULL,2024-05-31
imported,2024-05-31,2,228030,4604475,NULL,2024-05-31
imported,2024-05-31,2,4847091,7691063,NULL,2024-05-31
imported,2024-05-31,2,6375054,7686371,NULL,2024-05-31
imported,2024-05-31,2,82803,12345713,NULL,2024-05-31
imported,2024-05-31,2,14251874,12348811,NULL,2024-05-31
imported,2024-05-31,2,5660302,6982875,NULL,2024-05-31
imported,2024-05-31,2,90250,7691217,NULL,2024-05-31
imported,2024-05-31,2,5180971,7691641,NULL,2024-05-31
imported,2024-05-31,2,5139086,7251082,NULL,2024-05-31
imported,2024-05-31,2,5604276,7686008,NULL,2024-05-31
imported,2024-05-31,2,13949222,7688056,NULL,2024-05-31
imported,2024-05-31,2,6160033,6692115,NULL,2024-05-31
imported,2024-05-31,2,6369112,7691561,NULL,2024-05-31
imported,2024-05-31,2,4955240,85297,NULL,2024-05-31
imported,2024-05-31,2,227685,7861571,NULL,2024-05-31
imported,2024-05-31,2,5580282,90934,NULL,2024-05-31
imported,2024-05-31,2,227612,87613,NULL,2024-05-31
imported,2024-05-31,2,12345690,4784015,NULL,2024-05-31
imported,2024-05-31,2,14192080,14191951,NULL,2024-05-31
imported,2024-05-31,2,6367939,12754717,NULL,2024-05-31
imported,2024-05-31,2,5074660,7691203,NULL,2024-05-31
imported,2024-05-31,2,88170,7689794,NULL,2024-05-31
imported,2024-05-31,2,84882,6371426,NULL,2024-05-31
imported,2024-05-31,2,6373560,7687681,NULL,2024-05-31
imported,2024-05-31,2,5841157,7254094,NULL,2024-05-31
imported,2024-05-31,2,12881623,13887662,NULL,2024-05-31
imported,2024-05-31,2,2487613,6089690,NULL,2024-05-31
imported,2024-05-31,2,81238,12346779,NULL,2024-05-31
imported,2024-05-31,2,227685,6368128,NULL,2024-05-31
imported,2024-05-31,2,7691951,14161492,NULL,2024-05-31
imported,2024-05-31,2,5670528,7240717,NULL,2024-05-31
imported,2024-05-31,2,2486692,82327,NULL,2024-05-31
imported,2024-05-31,2,6450162,7553998,NULL,2024-05-31
imported,2024-05-31,2,6374873,6374872,NULL,2024-05-31
imported,2024-05-31,2,5390021,89094,NULL,2024-05-31
imported,2024-05-31,2,6099758,7685234,NULL,2024-05-31
imported,2024-05-31,2,6369428,6372309,NULL,2024-05-31
imported,2024-05-31,2,4555500,6374137,NULL,2024-05-31
imported,2024-05-31,2,4800762,7688117,NULL,2024-05-31
imported,2024-05-31,2,14161143,167102,NULL,2024-05-31
imported,2024-05-31,2,14161514,7687522,NULL,2024-05-31
imported,2024-05-31,2,5110777,7240265,NULL,2024-05-31
imported,2024-05-31,2,5617825,8128571,NULL,2024-05-31
imported,2024-05-31,2,5436466,7252398,NULL,2024-05-31
imported,2024-05-31,2,12881247,139699,NULL,2024-05-31
