place_a_id,place_b_id
5063110,7234515
5577305,7238607
6369792,4836207
4471629,7246943
12637697,12345850
7861646,14371720
5393290,7690721
90249,12956939
4885421,7686383
85257,6371968
88636,87380
4805576,7685697
6369588,7137837
4648248,7253824
5012511,7255258
4821492,14164910
2487464,5223684
6372826,7685120
4873448,7247529
227911,6368388
6373631,7686873
6151713,7246553
4725077,7237530
5899013,7688596
6208886,7647372
4625906,7243669
5968581,6461406
83632,14154339
6248857,7250746
6372781,7244635
2487419,7137772
5261241,13410338
88149,6373570
4938342,13920965
5001677,6375381
82211,14192424
88288,7689867
12995512,6373591
227917,7686229
6369785,14192506
6373165,7687028
4811491,89585
7690462,7610262
227670,14160937
7228748,7686763
5365471,7258909
89951,124702
4590977,7228849
14190735,6692005
6184306,7686281
4653426,7685270
5593562,6374827
4549856,7259904
7685398,14173417
5385519,7555091
4812783,7690910
4573700,6368922
7555010,7688371
4955274,82195
4593990,6373607
86476,86432
12562884,87612
5247243,7240656
14245523,12345966
6375240,7689281
89556,6372736
5032460,14071691
6369175,6462631
12346301,7691366
4617809,7687203
7613714,7613744
4641694,7227997
6171043,7224160
7688941,14173537
7553403,7686965
5516303,6370232
81393,7691107
4814847,6369262
14158274,6369481
5048311,7244645
5732257,89026
5756223,88770
6371576,7059037
4605552,7256684
6369377,7688295
4899766,6373348
5282541,7237076
5955594,8068565
89152,13152388
12346507,81141
2486827,87702
7691880,13984518
2486797,89908
5734538,7248209
6368242,6373172
5211499,7249582
7690872,7690872
5174524,7246649
5503054,6368579
13687629,6375467
4922725,7233027
6375084,6375084
5028134,7227134
6082539,7553905
4719961,7689893
81237,7861571
4899968,7230548
81237,6368128
6369935,6371375
4909063,7254811
227778,5258264
2487395,82911
13709607,7691450
167161,13512213
5658292,168159
6371591,7688084
7793147,7793159
5587548,82004
4879609,7253476
6369538,6373716
82093,13531252
2488589,14154624
5245679,7229840
4960032,6374426
5289432,7258858
4949458,7229094
4963117,7242093
14139367,13546778
14192564,7690282
6368244,6375289
5556451,7228062
5825663,7235095
90053,90054
5347491,8074708
227572,7690730
6109328,7242581
4963401,7230521
4647620,7248834
6177270,7691387
86213,7688569
6093816,7246185
4992288,7235666
4733291,7250417
5711284,81396
5887838,7689372
88985,7690412
6370411,7685768
5202851,6374252
91560,6368526
5163158,83156
6163395,7691121
5610991,84343
5897260,7249539
14192146,14191870
13055496,6370532
81411,7685335
6205245,7685687
12346179,12947325
6173712,91348
4710150,88971
14153907,87733
90999,6449336
85332,85008
89731,7690383
5969228,6371333
4608264,6369077
12852872,7137155
6007483,8114349
6368604,7691218
6375233,7690748
6370415,7685756
6001048,7223692
89417,6375183
5953078,7243701
6227384,7239647
6029610,7241497
4628232,6369521
89040,6372839
81673,12753850
5993709,7689831
6369509,7688725
5378306,14182716
85258,85258
5988210,7229612
88358,14114347
14160879,12951827
5050484,8134832
88454,5286768
4498708,7687216
88106,13959265
7140101,7137493
4583518,7262637
4903575,12407344
5343978,7226100
5453272,6374434
82803,7686361
13793939,13793939
4915474,7241622
6199612,7224574
5121156,7686979
6371576,7059037
82355,6294533
5539997,6982557
13941181,7686493
86113,13399941
82640,12402915
4456467,6370136
87424,12347145
7137144,7685045
14191951,14191951
5367083,7254647
6053732,7862543
4966392,6375560
6450184,14174746
6182163,7687946
5703319,6371401
6369661,6371563
5534865,7225400
6085825,6373973
4456520,6372552
7688028,7688028
227543,90290
5155219,7249618
6368518,7689239
5619899,7249181
6033174,6369927
4573153,7691711
4667635,7689225
4496117,7861406
14191871,14192085
12592142,6368524
85960,6374471
12664382,6375316
4482046,7687141
6368579,7685299
5698644,7232439
2487309,5994014
4784015,6375375
4749092,88915
5311637,7685657
6368842,6375245
81044,6368554
2487551,82458
5753939,7234591
83193,6368621
6373626,7685230
227610,6368579
6223100,7685793
6368837,7554993
5492278,7228629
5269501,6370514
5819272,7255923
7689328,14161627
5911246,7257838
5070881,7551961
88406,7689960
5213529,13245857
81546,7554939
5650913,90528
5148943,12967224
4839463,7137658
6078517,8116532
4446657,6369959
5915279,6982933
6453042,7690445
6369254,83176
5034937,7237538
90915,7691587
227541,81975
5185143,88406
5279862,14260287
6368869,14257549
6691798,5569219
91071,7610316
82359,14083471
5128470,6370725
