id	title	title_source	ccodes	types	fclasses	aat_types	lon	lat	start	end	matches	parent_name	parent_id
hgc-pp-1079	Töben Saraj	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.85738	45.07243	1450	1800	gn:6999493	Širin district	http://www.geonames.org/11494705
hgc-pp-1080	Üč Quju	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	35.02708	45.21908	1450	1800	gn:688929	Širin district	http://www.geonames.org/11494705
hgc-pp-1081	Aj Serez	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.84808	44.87654	1450	1800	gn:701311	Sudaq district	http://www.geonames.org/11494704
hgc-pp-1082	Alušta	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.4097	44.67728	1450	1800	gn:713513	Sudaq district	http://www.geonames.org/11494704
hgc-pp-1083	Arpat	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.72149	44.86978	1450	1800	gn:687388	Sudaq district	http://www.geonames.org/11494704
hgc-pp-1084	Qoz	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	35.10622	44.87185	1450	1800	gn:693219	Sudaq district	http://www.geonames.org/11494704
hgc-pp-1085	Quru Özen	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.53158346	44.74838626	1450	1800	gn:693218	Sudaq district	http://www.geonames.org/11494704
hgc-pp-1086	Sudaq	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.97471	44.84924	1450	1800	gn:692315	Sudaq district	http://www.geonames.org/11494704
hgc-pp-1087	Šuma	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.36637619	44.72122889	1450	1800	gn:703518	Sudaq district	http://www.geonames.org/11494704
hgc-pp-1088	Suvuk Suv	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.95318	44.94111	1450	1800	gn:703169	Sudaq district	http://www.geonames.org/11494704
hgc-pp-1089	Ulu Özen	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.48219	44.80073	1450	1800	gn:708879	Sudaq district	http://www.geonames.org/11494704
hgc-pp-1090	Voron	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.81894	44.88996	1450	1800	gn:689035	Sudaq district	http://www.geonames.org/11494704
hgc-pp-1091	Qara Töbel	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.93115	45.63125	1450	1800	gn:702461	Tamaq district	http://www.geonames.org/11494741
hgc-pp-1092	Tarqanlar	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.59538	45.81111	1450	1800	gn:710904	Tamaq district	http://www.geonames.org/11494741
hgc-pp-1093	Jaš Bek	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	32.97941	45.47849	1450	1800	gn:7027852	Tarɣan district	http://www.geonames.org/11494617
hgc-pp-1094	Qarağy	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	32.53333	45.38333	1450	1800	gn:461727	Tarɣan district	http://www.geonames.org/11494617
hgc-pp-1095	Tabuldy As	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	32.97945	45.36318	1450	1800	gn:7027764	Tarɣan district	http://www.geonames.org/11494617
hgc-pp-1096	Büjük Onlar	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.13521	45.28866	1450	1800	gn:698652	Tašly district	http://www.geonames.org/11494782
hgc-pp-1097	Itaq	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.15802	45.35811	1450	1800	gn:705258	Tašly district	http://www.geonames.org/11494782
hgc-pp-1098	Tašly Dajyr	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.22134	45.43473	1450	1800	gn:702248	Tašly district	http://www.geonames.org/11494782
hgc-pp-1099	Qaja Asty	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.31107	45.08648	1450	1800	gn:702921	Zuja district	http://www.geonames.org/11494783
